^ARTICOLO        ^|^DES.ART.^|^DES.ART.2^|^N.ORD.^|^ANNO^|^RG^|^CONTO^|^RAG.SOC.^|^UM^|^Q.TA^|^Q.TA RESIDUA^|^Q.TA PRONTA^|^D.CONS. ^|^IMP.NET.RES.^
^A200170         ^|^CORPO VALVOLA SPARO           ^|^<686>                         ^|^A0000279^|2018|1|8004126|^WAM Industriale spa           ^|^PZ^|^         10.000,000^|^         10.000,000^|0|^24/07/2018^|^          13.100,00^
^A200410         ^|^BASE FOTOCELLULA IP 66        ^|^<700>                         ^|^A0000072^|2018|1|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          5.000,000^|^          1.563,000^|0|^09/04/2018^|^           1.892,79^
^A200410         ^|^BASE FOTOCELLULA IP 66        ^|^<700>                         ^|^A0000072^|2018|2|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^07/05/2018^|^           7.266,00^
^A200410         ^|^BASE FOTOCELLULA IP 66        ^|^<700>                         ^|^A0000229^|2018|1|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          5.000,000^|^          5.000,000^|0|^09/05/2018^|^           6.055,00^
^A200410         ^|^BASE FOTOCELLULA IP 66        ^|^<700>                         ^|^A0000229^|2018|4|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^08/06/2018^|^           7.266,00^
^A200410         ^|^BASE FOTOCELLULA IP 66        ^|^<700>                         ^|^A0000229^|2018|6|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^09/07/2018^|^           7.266,00^
^A200420         ^|^COPERCHIO FOTOCELLULA IP 66   ^|^<700>                         ^|^A0000072^|2018|3|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          5.000,000^|^          1.600,000^|0|^09/04/2018^|^           2.060,80^
^A200420         ^|^COPERCHIO FOTOCELLULA IP 66   ^|^<700>                         ^|^A0000072^|2018|4|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^07/05/2018^|^           7.728,00^
^A200420         ^|^COPERCHIO FOTOCELLULA IP 66   ^|^<700>                         ^|^A0000229^|2018|2|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          7.000,000^|^          7.000,000^|0|^09/05/2018^|^           9.016,00^
^A200420         ^|^COPERCHIO FOTOCELLULA IP 66   ^|^<700>                         ^|^A0000229^|2018|3|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^08/06/2018^|^           7.728,00^
^A200420         ^|^COPERCHIO FOTOCELLULA IP 66   ^|^<700>                         ^|^A0000229^|2018|5|8004305|^CARDIN ELETTRONICA S.P.A.     ^|^PZ^|^          6.000,000^|^          6.000,000^|0|^09/07/2018^|^           7.728,00^
^A200491         ^|^FLANGIA ANTERIORE rullata <706^|^> 901630                      ^|^A0000892^|2017|2|8004704|^IME Industria Motori Elettrici^|^PZ^|^          3.000,000^|119000|0|^12/01/2018^|^             110,67^
^A200770         ^|^BASE SBLOCCO A CHIAVE CUBIC 6 ^|^2827 <720>                    ^|^A0000165^|2018|1|8005061|^FAST SRL                      ^|^PZ^|500000|500000|0|^09/04/2018^|^             720,00^
^A200780         ^|^COPERCHIO SBLOCCO A CHIAVE CUB^|^IC 6 2828 <720>               ^|^A0000165^|2018|2|8005061|^FAST SRL                      ^|^PZ^|500000|500000|0|^09/04/2018^|^             710,00^
^A200790         ^|^PIATTO PORTA MOLLA SBLOCCO CUB^|^IC 6 2833 <720>               ^|^A0000165^|2018|3|8005061|^FAST SRL                      ^|^PZ^|500000|500000|0|^09/04/2018^|^             278,00^
^A201702         ^|^SEMICASSA RIDUTTORE/A **      ^|^<191>                         ^|^A0000271^|2018|1|8004303|^CAME SPA                      ^|^PZ^|100000|100000|0|^16/04/2018^|^              85,10^
^A201702         ^|^SEMICASSA RIDUTTORE/A **      ^|^<191>                         ^|^S0000043^|2018|28|8004303|^CAME SPA                      ^|^PZ^|100000|100000|0|^01/07/2018^|^              85,10^
^A201703         ^|^SEMICASSA RIDUTTORE/B  **     ^|^<191>  119E925B               ^|^A0000271^|2018|2|8004303|^CAME SPA                      ^|^PZ^|100000|100000|0|^16/04/2018^|^              85,10^
^A201703         ^|^SEMICASSA RIDUTTORE/B  **     ^|^<191>  119E925B               ^|^S0000043^|2018|29|8004303|^CAME SPA                      ^|^PZ^|100000|100000|0|^01/07/2018^|^              85,10^
^A201801         ^|^CALOTTA  MOTORIDUTTORE <192>  ^|^119E924                       ^|^S0000045^|2018|23|8004303|^CAME SPA                      ^|^PZ^|300000|300000|0|^01/09/2018^|^             500,70^
^A201910         ^|^FLANGIA INFERIORE S285        ^|^<705>                         ^|^A0000255^|2018|1|8004303|^CAME SPA                      ^|^PZ^|500000|500000|0|^11/05/2018^|^             989,00^
^A202101         ^|^FLANGIA ATT.MOTORE 119G533    ^|901647|^A0000274^|2018|2|8004704|^IME Industria Motori Elettrici^|^PZ^|^          6.000,000^|^          6.000,000^|0|^07/09/2018^|^           6.504,00^
^A202101         ^|^FLANGIA ATT.MOTORE 119G533    ^|^<231>   NO SCARICO ALLUMINIO  ^|^A0000864^|2017|2|8004704|^IME Industria Motori Elettrici^|^PZ^|^          5.000,000^|^          3.824,000^|0|^09/03/2018^|^           4.137,57^
^A202101         ^|^FLANGIA ATT.MOTORE 119G533    ^|^<231>   NO SCARICO ALLUMINIO  ^|^S0000045^|2018|31|8004303|^CAME SPA                      ^|^PZ^|200000|200000|0|^01/09/2018^|^             225,00^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000026^|2018|26|8004303|^CAME SPA                      ^|^PZ^|^          1.950,000^|^          1.950,000^|0|^01/04/2018^|^             996,45^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000041^|2018|31|8004303|^CAME SPA                      ^|^PZ^|^          1.950,000^|^          1.950,000^|0|^02/05/2018^|^             996,45^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000042^|2018|34|8004303|^CAME SPA                      ^|^PZ^|^          1.950,000^|^          1.950,000^|0|^01/06/2018^|^             996,45^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000043^|2018|38|8004303|^CAME SPA                      ^|^PZ^|^          3.900,000^|^          3.900,000^|0|^01/07/2018^|^           1.992,90^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000044^|2018|35|8004303|^CAME SPA                      ^|^PZ^|^          1.950,000^|^          1.950,000^|0|^01/08/2018^|^             996,45^
^A202201         ^|^FLANGIA DI TRASCINAMENTO <248>^|^                              ^|^S0000045^|2018|32|8004303|^CAME SPA                      ^|^PZ^|^          1.950,000^|^          1.950,000^|0|^01/09/2018^|^             996,45^
^A202301         ^|^FLANGIA IMPR  **  <271>       ^|^                              ^|^A0000084^|2018|1|8003778|^MOVIMOTOR S.R.L.              ^|^PZ^|^          1.600,000^|313000|0|^16/03/2018^|^             399,39^
^A202301         ^|^FLANGIA IMPR  **  <271>       ^|^                              ^|^A0000246^|2018|1|8003778|^MOVIMOTOR S.R.L.              ^|^PZ^|680000|680000|0|^20/04/2018^|^             867,68^
^A202302         ^|^CALOTTA IMPR S/FORO <271>     ^|^                              ^|^A0000246^|2018|2|8003778|^MOVIMOTOR S.R.L.              ^|^PZ^|350000|350000|0|^20/04/2018^|^             470,75^
^A202304         ^|^CALOTTA ** NON IMPREGNATA C/FO^|^RO  M215C <27103>             ^|^A0000864^|2017|1|8004704|^IME Industria Motori Elettrici^|^PZ^|^          5.000,000^|^          3.931,000^|0|^06/04/2018^|^           4.689,68^
^A202304         ^|^CALOTTA ** NON IMPREGNATA C/FO^|^RO  M215C <27103>901646       ^|^A0000274^|2018|1|8004704|^IME Industria Motori Elettrici^|^PZ^|^          5.000,000^|^          5.000,000^|0|^07/09/2018^|^           5.965,00^
^A203401         ^|^REGGIMENSOLA ALL.  <45>       ^|^                              ^|^A0000212^|2018|1|8004905|^DE ROSSO SRL                  ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^27/04/2018^|^           1.600,00^
^A205504         ^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>             ^|^A0000065^|2018|2|9010740|^IRROM INDUSTRIE  srl          ^|^PZ^|^         10.000,000^|^          4.498,000^|0|^26/02/2018^|^           8.006,44^
^A212203         ^|^SEMI SCAT.RIDUT.S/MARCHIO dis.^|^376 DX NERO OPACO ** <247>    ^|^A0000141^|2018|1|8002927|^SERAI srl                     ^|^PZ^|300000|300000|0|^13/04/2018^|^           1.200,00^
^A212204         ^|^SEMI SCAT.RIDUT.S/MARCHIO dis.^|^376 SX NERO OPACO ** <247>    ^|^A0000141^|2018|2|8002927|^SERAI srl                     ^|^PZ^|300000|300000|0|^13/04/2018^|^           1.200,00^
^A214201         ^|^CALOTTA ANTERIORE APERTA D.125^|^ALTA  <356>                   ^|^A0000902^|2017|1|8004718|^ALBA PUMPS DI Cecchinato      ^|^PZ^|^          4.000,000^|^          2.560,000^|0|^08/01/2018^|^           2.951,68^
^A214201         ^|^CALOTTA ANTERIORE APERTA D.125^|^ALTA  <356>                   ^|^A0000140^|2018|1|8004718|^ALBA PUMPS DI Cecchinato      ^|^PZ^|^          4.000,000^|^          4.000,000^|0|^06/06/2018^|^           4.612,00^
^A214202         ^|^CALOTTA POSTERIORE APER. D.125^|^_ALTA  <356>                  ^|^A0000902^|2017|2|8004718|^ALBA PUMPS DI Cecchinato      ^|^PZ^|^          4.000,000^|^          2.560,000^|0|^08/01/2018^|^           2.951,68^
^A214202         ^|^CALOTTA POSTERIORE APER. D.125^|^_ALTA  <356>                  ^|^A0000140^|2018|2|8004718|^ALBA PUMPS DI Cecchinato      ^|^PZ^|^          4.000,000^|^          4.000,000^|0|^06/06/2018^|^           4.612,00^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^A0000233^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|362000|0|^26/03/2018^|^             232,40^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000026^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|^          2.880,000^|0|^01/04/2018^|^           1.848,96^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^A0000243^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|^          2.880,000^|0|^09/04/2018^|^           1.848,96^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000041^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^02/05/2018^|^           2.773,44^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000042^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/06/2018^|^           2.773,44^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000043^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/07/2018^|^           2.773,44^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000044^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/08/2018^|^           2.773,44^
^A214601         ^|^CALOTTA INFERIORE BYE**  <334>^|^                              ^|^S0000045^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|^          2.880,000^|0|^01/09/2018^|^           1.848,96^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000026^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|^          2.880,000^|0|^01/04/2018^|^           1.920,96^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^A0000238^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^09/04/2018^|^             960,48^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^A0000282^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^23/04/2018^|^             960,48^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000041^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^02/05/2018^|^           2.881,44^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000042^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/06/2018^|^           2.881,44^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000043^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          2.880,000^|^          2.880,000^|0|^01/07/2018^|^           1.920,96^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000044^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/08/2018^|^           2.881,44^
^A214602         ^|^CALOTTA SUPERIORE BYE**  <334>^|^                              ^|^S0000045^|2018|2|8004303|^CAME SPA                      ^|^PZ^|^          4.320,000^|^          4.320,000^|0|^01/09/2018^|^           2.881,44^
^A215201         ^|^PIEDINO PICCOLO H28.5 <18>    ^|^                              ^|^A0000160^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          8.000,000^|^          8.000,000^|0|^23/04/2018^|^           1.824,00^
^A215201         ^|^PIEDINO PICCOLO H28.5 <18>    ^|^                              ^|^A0000261^|2018|3|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          8.000,000^|^          8.000,000^|0|^30/05/2018^|^           1.824,00^
^A215301         ^|^PIEDINO GRANDE  <19>          ^|^                              ^|^A0000160^|2018|3|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          8.000,000^|^          8.000,000^|0|^30/05/2018^|^           1.928,00^
^A215601         ^|^SUPPORTO MOTORE MEC/80  <15>  ^|^                              ^|^A0000273^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^23/05/2018^|^           6.934,00^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000026^|2018|22|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^01/04/2018^|^           1.181,52^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000041^|2018|28|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^02/05/2018^|^           1.181,52^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000042^|2018|30|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^01/06/2018^|^           1.181,52^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000043^|2018|34|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^01/07/2018^|^           1.181,52^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000044^|2018|31|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^01/08/2018^|^           1.181,52^
^A215701         ^|^SEMICASSA RIDUTTORE EMEGA/A **^|^<23>                          ^|^S0000045^|2018|29|8004303|^CAME SPA                      ^|^PZ^|^          1.080,000^|^          1.080,000^|0|^01/09/2018^|^           1.181,52^
^A215702         ^|^SEMICASSA RIDUTTORE EMEGA/B **^|^<23>                          ^|^S0000026^|2018|23|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/04/2018^|^           1.585,44^
^A215702         ^|^SEMICASSA RIDUTTORE EMEGA/B **^|^<23>                          ^|^A0000278^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^23/04/2018^|^           1.585,44^
^A215702         ^|^SEMICASSA RIDUTTORE EMEGA/B **^|^<23>                          ^|^S0000042^|2018|31|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/06/2018^|^           1.585,44^
^A215702         ^|^SEMICASSA RIDUTTORE EMEGA/B **^|^<23>                          ^|^S0000043^|2018|35|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/07/2018^|^           1.585,44^
^A215702         ^|^SEMICASSA RIDUTTORE EMEGA/B **^|^<23>                          ^|^S0000044^|2018|32|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/08/2018^|^           1.585,44^
^A216401         ^|^CALOTTA ANT. C/FORO M313A**   ^|^<329>                         ^|^A0000235^|2018|1|8004114|^DAGU S.r.L.                   ^|^PZ^|^          1.800,000^|^          1.800,000^|0|^08/06/2018^|^           1.033,20^
^A216402         ^|^CALOTTA POST. C/FORO M313B ** ^|^<329>                         ^|^A0000235^|2018|2|8004114|^DAGU S.r.L.                   ^|^PZ^|^          1.800,000^|^          1.800,000^|0|^08/06/2018^|^           1.033,20^
^A217401         ^|^DISTANZIALI dis.72014 **      ^|^<100>  ordinare con A217402   ^|^A0000160^|2018|4|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^16/04/2018^|^             338,00^
^A217401         ^|^DISTANZIALI dis.72014 **      ^|^<100>  ordinare con A217402   ^|^A0000261^|2018|2|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^30/05/2018^|^             169,00^
^A217402         ^|^DISTANZIALI dis.72015 ** <100>^|^ordinare con A217401          ^|^A0000160^|2018|2|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^16/04/2018^|^             338,00^
^A217402         ^|^DISTANZIALI dis.72015 ** <100>^|^ordinare con A217401          ^|^A0000261^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^30/05/2018^|^             169,00^
^A217501         ^|^SUPPORTO MOTORE MEC/80        ^|^<134>                         ^|^A0001007^|2017|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|11000|0|^20/02/2018^|^              43,26^
^A217501         ^|^SUPPORTO MOTORE MEC/80        ^|^<134>                         ^|^A0000196^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^20/04/2018^|^           7.866,00^
^A218901         ^|^MORSETTO RADIATORE "NOVO D.23"^|^BIANCO <241-242-243>          ^|^A0000065^|2018|1|9010740|^IRROM INDUSTRIE  srl          ^|^PZ^|^         10.000,000^|^          3.350,000^|0|^26/02/2018^|^           5.963,00^
^A219901         ^|^SUPPORTO CDU 165 <386>        ^|^                              ^|^A0000177^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^19/04/2018^|^           3.858,00^
^A226101         ^|^SUPPORTO MOTORE MEC/80 DWO    ^|^<446>                         ^|^A0000218^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^27/04/2018^|^           6.664,00^
^A230700         ^|^SUPPORTO MOTORE MEC 90        ^|^<502>                         ^|^A0000161^|2018|1|8003215|^EBARA PUMPS EUROPE S.p.A.     ^|^PZ^|^          2.000,000^|^          2.000,000^|0|^16/04/2018^|^           7.292,00^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000026^|2018|8|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/04/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^A0000267^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^24/04/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000041^|2018|8|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^02/05/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000042^|2018|7|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/06/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000043^|2018|9|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/07/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000044^|2018|8|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/08/2018^|^           1.159,65^
^A233400         ^|^FLANGIA DI TRASCINAMENTO BK   ^|^**                       <534>^|^S0000045^|2018|8|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/09/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000026^|2018|9|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/04/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^A0000272^|2018|1|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^24/04/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000041^|2018|9|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^02/05/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000042^|2018|8|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/06/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000043^|2018|10|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/07/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000044^|2018|9|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/08/2018^|^           1.159,65^
^A233401         ^|^FLANGIA DI CONDOTTA BK  **    ^|^<534>                         ^|^S0000045^|2018|9|8004303|^CAME SPA                      ^|^PZ^|^          1.350,000^|^          1.350,000^|0|^01/09/2018^|^           1.159,65^
^A233802         ^|^SEMICASSA RETRO BK            ^|^<538>                         ^|^S0000041^|2018|15|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^02/05/2018^|^           2.064,24^
^A233802         ^|^SEMICASSA RETRO BK            ^|^<538>                         ^|^S0000042^|2018|15|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^01/06/2018^|^           2.064,24^
^A233802         ^|^SEMICASSA RETRO BK            ^|^<538>                         ^|^S0000043^|2018|17|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/07/2018^|^           4.128,48^
^A233802         ^|^SEMICASSA RETRO BK            ^|^<538>                         ^|^S0000044^|2018|16|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^01/08/2018^|^           2.064,24^
^A233802         ^|^SEMICASSA RETRO BK            ^|^<538>                         ^|^S0000045^|2018|16|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/09/2018^|^           4.128,48^
^A233803         ^|^SEMICASSA FRONTE BK           ^|^<538>                         ^|^S0000041^|2018|14|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^02/05/2018^|^           2.085,84^
^A233803         ^|^SEMICASSA FRONTE BK           ^|^<538>                         ^|^S0000042^|2018|14|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/06/2018^|^           4.171,68^
^A233803         ^|^SEMICASSA FRONTE BK           ^|^<538>                         ^|^S0000043^|2018|16|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^01/07/2018^|^           2.085,84^
^A233803         ^|^SEMICASSA FRONTE BK           ^|^<538>                         ^|^S0000044^|2018|15|8004303|^CAME SPA                      ^|^PZ^|720000|720000|0|^01/08/2018^|^           2.085,84^
^A233803         ^|^SEMICASSA FRONTE BK           ^|^<538>                         ^|^S0000045^|2018|15|8004303|^CAME SPA                      ^|^PZ^|^          1.440,000^|^          1.440,000^|0|^01/09/2018^|^           4.171,68^
^A235200         ^|^NUOVA CARCASSA RIDUTTORE BOX  ^|^<509>                         ^|^A0000195^|2018|1|8004029|^ENTREMATIC ITALY SPA          ^|^PZ^|^          1.000,000^|^          1.000,000^|0|^23/04/2018^|^           2.950,00^
