^PRODOTTO^|^DESCRIZIONE^|^DESCRIZIONE TECNICA^|^LIV^|^COMPONENTE^|^DesComp^|^DesComp1^|^UM^|^QTIMPIEGATA^|^QTEFFETTIVA^
^A200370^|^SCHIENALE DX^|^<699>^|1|^E200370^|^SCHIENALE DX^|^grezzo <699>^|^PZ^|1|1
^A200370^|^SCHIENALE DX^|^<699>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|830|913
^A200380^|^SEDUTA DX^|^<699>^|1|^E200380^|^SEDUTA DX^|^grezzo <699>^|^PZ^|1|1
^A200380^|^SEDUTA DX^|^<699>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|770|847
^A200390^|^MP/TELA ANELLO SUPERIORE^|^<701>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200390^|^MP/TELA ANELLO SUPERIORE^|^<701>^|1|^E200390^|^MP/TELA ANELLO SUPERIORE^|^grezzo <701>^|^PZ^|1|1
^A200390^|^MP/TELA ANELLO SUPERIORE^|^<701>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|270|297
^A200401^|^POMOLO diam.40 ALL.  <91>^||1|^E200401^|^POMOLO diam.40 ALL. grezzo^|^<91>^|^PZ^|1|1
^A200410^|^BASE FOTOCELLULA IP 66^|^<700>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200410^|^BASE FOTOCELLULA IP 66^|^<700>^|1|7900446|^DIVISORIO FALDE 380 x 380 mm^|^x cartoni 7900046/55^|^PZ^|0.04|0.04
^A200410^|^BASE FOTOCELLULA IP 66^|^<700>^|1|^E200410^|^BASE FOTOCELLULA IP 57^|^grezzo <700>^|^PZ^|1|1
^A200410^|^BASE FOTOCELLULA IP 66^|^<700>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|135|148.5
^A200420^|^COPERCHIO FOTOCELLULA IP 66^|^<700>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.01|0.01
^A200420^|^COPERCHIO FOTOCELLULA IP 66^|^<700>^|1|7900446|^DIVISORIO FALDE 380 x 380 mm^|^x cartoni 7900046/55^|^PZ^|0.04|0.04
^A200420^|^COPERCHIO FOTOCELLULA IP 66^|^<700>^|1|^E200420^|^COPERCHIO FOTOCELLULA IP 57^|^grezzo <700>^|^PZ^|1|1
^A200420^|^COPERCHIO FOTOCELLULA IP 66^|^<700>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|95|104.5
^A200430^|^SCATOLA INFERIORE LAVORATA^|^<702> 3SL213.2 NUOVA VERSIONE^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.06|0.06
^A200430^|^SCATOLA INFERIORE LAVORATA^|^<702> 3SL213.2 NUOVA VERSIONE^|1|^E200430^|^SCATOLA INFERIORE^|^grezzo <702>^|^PZ^|1|1
^A200430^|^SCATOLA INFERIORE LAVORATA^|^<702> 3SL213.2 NUOVA VERSIONE^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|1730|1903
^A200440^|^SCATOLA SUPERIORE LAVORATA^|^<703>  3SL214.1 NUOVA VERSIONE^|1|7900046|^CARTONI 400x400x400^||^PZ^|0.03|0.03
^A200440^|^SCATOLA SUPERIORE LAVORATA^|^<703>  3SL214.1 NUOVA VERSIONE^|1|^E200440^|^SCATOLA SUPERIORE^|^grezzo <703>^|^PZ^|1|1
^A200440^|^SCATOLA SUPERIORE LAVORATA^|^<703>  3SL214.1 NUOVA VERSIONE^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|750|825
^A200450^|^CALOTTA ANTERIORE S/DENTINO^|^<704>   CUS9009^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200450^|^CALOTTA ANTERIORE S/DENTINO^|^<704>   CUS9009^|1|^E200450^|^CALOTTA ANTERIORE S/DENTINO^|^grezzo <704>^|^PZ^|1|1
^A200450^|^CALOTTA ANTERIORE S/DENTINO^|^<704>   CUS9009^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|245|269.5
^A200451^|^CALOTTA ANTERIORE C/DENTINO^|^<70403>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200451^|^CALOTTA ANTERIORE C/DENTINO^|^<70403>^|1|^E200451^|^CALOTTA ANTERIORE C/DENTINO^|^grezzo <70403>^|^PZ^|1|1
^A200451^|^CALOTTA ANTERIORE C/DENTINO^|^<70403>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|245|269.5
^A200460^|^CALOTTA POSTERIORE S/DENTINO^|^<704> CSP9003^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200460^|^CALOTTA POSTERIORE S/DENTINO^|^<704> CSP9003^|1|^E200460^|^CALOTTA POSTERIORE S/DENTINO^|^grezzo <704>^|^PZ^|1|1
^A200460^|^CALOTTA POSTERIORE S/DENTINO^|^<704> CSP9003^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|140|154
^A200461^|^CALOTTA POSTERIORE C/DENTINO^|^<70403>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200461^|^CALOTTA POSTERIORE C/DENTINO^|^<70403>^|1|^E200461^|^CALOTTA POSTERIORE C/DENTINO^|^grezzo <70403>^|^PZ^|1|1
^A200461^|^CALOTTA POSTERIORE C/DENTINO^|^<70403>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|140|154
^A200470^|^COPERCHIO^|^<706>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200470^|^COPERCHIO^|^<706>^|1|^E200470^|^COPERCHIO^|^grezzo <706>^|^PZ^|1|1
^A200470^|^COPERCHIO^|^<706>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|45|49.5
^A200480^|^TESTATA SPAZZOLE 3GL226.1<706>^||1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200480^|^TESTATA SPAZZOLE 3GL226.1<706>^||1|^E200480^|^TESTATA SPAZZOLE^|^grezzo <706>^|^PZ^|1|1
^A200480^|^TESTATA SPAZZOLE 3GL226.1<706>^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|40|44
^A200481^|^CAVALLOTTO POSTERIORE PER MP65^|^rullato <706>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200481^|^CAVALLOTTO POSTERIORE PER MP65^|^rullato <706>^|1|^E200480^|^TESTATA SPAZZOLE^|^grezzo <706>^|^PZ^|1|1
^A200481^|^CAVALLOTTO POSTERIORE PER MP65^|^rullato <706>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|40|44
^A200490^|^TESTATA ALBERO  3BL278.1^|^<706>^|1|7900046|^CARTONI 400x400x400^||^PZ^|1|1
^A200490^|^TESTATA ALBERO  3BL278.1^|^<706>^|1|^E200490^|^TESTATA ALBERO^|^grezzo <706>^|^PZ^|1|1
^A200490^|^TESTATA ALBERO  3BL278.1^|^<706>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|40|44
^A200491^|^FLANGIA ANTERIORE rullata <706^|^>^|1|7900046|^CARTONI 400x400x400^||^PZ^|0|0
^A200491^|^FLANGIA ANTERIORE rullata <706^|^>^|1|^E200490^|^TESTATA ALBERO^|^grezzo <706>^|^PZ^|1|1
^A200491^|^FLANGIA ANTERIORE rullata <706^|^>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|40|44
^A200501^|^MEZZALUNA ALL.  <92>^||1|^E200501^|^MEZZALUNA ALL. grezza  <92>^||^PZ^|1|1
^A200510^|^CORPO RIDUTTORE^|^<707>^|1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200510^|^CORPO RIDUTTORE^|^<707>^|1|^E200510^|^CORPO RIDUTTORE^|^grezzo <707>^|^PZ^|1|1
^A200510^|^CORPO RIDUTTORE^|^<707>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|160|176
^A200511^|^CORPO RIDUTTORE rullato <707>^||1|7900053|^CARTONI 590x390x430H^||^PZ^|0.01|0.01
^A200511^|^CORPO RIDUTTORE rullato <707>^||1|^E200510^|^CORPO RIDUTTORE^|^grezzo <707>^|^PZ^|1|1
^A200511^|^CORPO RIDUTTORE rullato <707>^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|160|176
^A200520^|^CARCASSA S.B. AL 150.01^|^<708>^|1|7901000|^PALLET LEGNO 800x1200 COD. 073^|^4 VIE - 7 TAVOLE (P.TA 600KG.)^|^PZ^|0.01|0.01
^A200520^|^CARCASSA S.B. AL 150.01^|^<708>^|1|^E200520^|^CORPO MOTORE SB150^|^Grezzo <708>^|^PZ^|1|1
^A200520^|^CARCASSA S.B. AL 150.01^|^<708>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|2120|2268.4
^A200530^|^CORPO MOTORE SB 154 C/FORI MAG^|^GIORATI   14 E SVASATI <70801>^|1|7901000|^PALLET LEGNO 800x1200 COD. 073^|^4 VIE - 7 TAVOLE (P.TA 600KG.)^|^PZ^|0.01|0.01
^A200530^|^CORPO MOTORE SB 154 C/FORI MAG^|^GIORATI   14 E SVASATI <70801>^|1|^E200520^|^CORPO MOTORE SB150^|^Grezzo <708>^|^PZ^|1|1
^A200530^|^CORPO MOTORE SB 154 C/FORI MAG^|^GIORATI   14 E SVASATI <70801>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|2120|2268.4
^A200540^|^CORPO MOTORE SB 154 C/TORNITUR^|^A   ESTERNO <70802>^|1|7901000|^PALLET LEGNO 800x1200 COD. 073^|^4 VIE - 7 TAVOLE (P.TA 600KG.)^|^PZ^|0.01|0.01
^A200540^|^CORPO MOTORE SB 154 C/TORNITUR^|^A   ESTERNO <70802>^|1|^E200520^|^CORPO MOTORE SB150^|^Grezzo <708>^|^PZ^|1|1
^A200540^|^CORPO MOTORE SB 154 C/TORNITUR^|^A   ESTERNO <70802>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|2120|2268.4
^A200550^|^FONDELLO MODELLO ORO^|^<709>^|1|7900055|^CARTONI 400x400x260^||^PZ^|0.01|0.01
^A200550^|^FONDELLO MODELLO ORO^|^<709>^|1|^E200550^|^FONDELLO MODELLO ORO^|^grezzo <709>^|^PZ^|1|1
^A200550^|^FONDELLO MODELLO ORO^|^<709>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|225|247.5
^A200560^|^TESTATA DISTRIBUTORE ORO^|^<709>^|1|7900055|^CARTONI 400x400x260^||^PZ^|0.01|0.01
^A200560^|^TESTATA DISTRIBUTORE ORO^|^<709>^|1|^E200560^|^TESTATA DISTRIBUTORE ORO^|^grezzo <709>^|^PZ^|1|1
^A200560^|^TESTATA DISTRIBUTORE ORO^|^<709>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|260|286
^A200570^|^CALOTTA MEC80 POSTERIORE APERT^|^A ALTA 3 FORI <710>^|1|^E200570^|^CALOTTA MEC80 POSTERIORE APERT^|^A ALTA 3 FORI grezzo <710>^|^PZ^|1|1
^A200570^|^CALOTTA MEC80 POSTERIORE APERT^|^A ALTA 3 FORI <710>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|295|324.5
^A200580^|^CALOTTA MEC 80 ANTERIORE APERT^|^A ALTA 4 FORI <710>^|1|^E200580^|^CALOTTA MEC 80 ANTERIORE APERT^|^A ALTA 4 FORI grezzo <710>^|^PZ^|1|1
^A200580^|^CALOTTA MEC 80 ANTERIORE APERT^|^A ALTA 4 FORI <710>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|270|297
^A200590^|^SUPPORTO DI BASE EASY_REVO^||1|7900046|^CARTONI 400x400x400^||^PZ^|0.04|0.04
^A200590^|^SUPPORTO DI BASE EASY_REVO^||1|7900237|^CARTONE ONDULATO H1000^|^BOBINE^|^PZ^|0.04|0.04
^A200590^|^SUPPORTO DI BASE EASY_REVO^||1|^E200590^|^SUPPORTO DI BASE EASY_REVO^|^grezzo <711>^|^PZ^|1|1
^A200590^|^SUPPORTO DI BASE EASY_REVO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|900|990
^A200601^|^GUIDA STELI APPENDIABITI ALL.^|^<93>^|1|^E200601^|^GUIDA STELI APPENDIABITI ALL.^|^grezza  <93>^|^PZ^|1|1
^A200610^|^DISSIPATORE 199_040204^|^<712>^|1|7900049|^CARTONI 400x300x265^||^PZ^|0.01|0.01
^A200610^|^DISSIPATORE 199_040204^|^<712>^|1|7900196|^DIVISORIO FALDE mm 300 x 470^|^1 ONDA^|^PZ^|0.2|0.2
^A200610^|^DISSIPATORE 199_040204^|^<712>^|1|^E200610^|^DISSIPATORE 199_040204^|^grezzo <712>^|^PZ^|1|1
^A200610^|^DISSIPATORE 199_040204^|^<712>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|155|165.85
^A200620^|^CALOTTA MEC80 POSTERIORE APERT^|^A BASSA 3 FORI <71001>^|1|^E200620^|^CALOTTA MEC80 POSTERIORE APERT^|^A BASSA 3 FORI grezzo <71001>^|^PZ^|1|1
^A200620^|^CALOTTA MEC80 POSTERIORE APERT^|^A BASSA 3 FORI <71001>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|240|264
